name,url,old_url
"Provinsi Jawa Timur > LPSE Provinsi Jawa Timur","https://spse.inaproc.id/jatimprov","https://lpse.jatimprov.go.id"
"Provinsi Jawa Tengah > LPSE Provinsi Jawa Tengah","https://spse.inaproc.id/jatengprov","https://lpse.jatengprov.go.id"
"Provinsi Jawa Barat > LPSE Provinsi Jawa Barat","https://spse.inaproc.id/jabarprov","https://lpse.jabarprov.go.id"
"Provinsi Jambi > LPSE Provinsi Jambi","https://spse.inaproc.id/jambiprov","https://lpse.jambiprov.go.id"
"Provinsi Gorontalo > LPSE Provinsi Gorontalo","https://spse.inaproc.id/gorontaloprov","https://lpse.gorontaloprov.go.id"
"Provinsi DI Yogyakarta > LPSE Provinsi Daerah Istimewa Yogyakarta","https://spse.inaproc.id/jogjaprov","https://lpse.jogjaprov.go.id"
"Provinsi Bengkulu > LPSE Provinsi Bengkulu","https://spse.inaproc.id/bengkuluprov","https://lpse.bengkuluprov.go.id"
"Provinsi Banten > LPSE Provinsi Banten","https://spse.inaproc.id/bantenprov","https://lpse.bantenprov.go.id"
"Provinsi Bali > LPSE Provinsi Bali","https://spse.inaproc.id/baliprov","https://lpse.baliprov.go.id"
"Perpustakaan Nasional Republik Indonesia > LPSE Kementerian Keuangan","https://spse.inaproc.id/kemenkeu","https://lpse.kemenkeu.go.id"
"Ombudsman Republik Indonesia > LPSE Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah","https://spse.inaproc.id/lkpp","https://lpse.lkpp.go.id"
"Majelis Permusyawaratan Rakyat > LPSE Majelis Permusyawaratan Rakyat Republik Indonesia","https://spse.inaproc.id/mpr","https://lpse.mpr.go.id"
"Mahkamah Konstitusi Ri > LPSE Mahkamah Konstitusi","https://spse.inaproc.id/mkri","https://lpse.mkri.id"
"Mahkamah Agung > LPSE Mahkamah Agung Republik Indonesia","https://spse.inaproc.id/mahkamahagung","https://lpse.mahkamahagung.go.id"
"Lembaga Penyiaran Radio Republik Indonesia > LPSE Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah","https://spse.inaproc.id/lkpp","https://lpse.lkpp.go.id"
"Lembaga Penyiaran Publik Televisi Republik Indonesia > LPSE Televisi Republik Indonesia","https://spse.inaproc.id/tvri","https://lpse.tvri.go.id"
"Lembaga Ketahanan Nasional > LPSE Lembaga Ketahanan Nasional","https://spse.inaproc.id/lemhannas","https://lpse.lemhannas.go.id"
"Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah > LPSE Lembaga Kebijakan Pengadaan Barang/Jasa Pemerintah","https://spse.inaproc.id/lkpp","https://lpse.lkpp.go.id"
"Lembaga Administrasi Negara > LPSE Kementerian Keuangan","https://spse.inaproc.id/kemenkeu","https://lpse.kemenkeu.go.id"
"Kota Yogyakarta > LPSE Kota Yogyakarta","https://spse.inaproc.id/jogjakota","https://lpse.jogjakota.go.id"
"Kota Tual > LPSE Kota Tual","https://spse.inaproc.id/tualkota","https://lpse.tualkota.go.id"
"Kota Tomohon > LPSE Kota Tomohon","https://spse.inaproc.id/tomohon","https://lpse.tomohon.go.id"
"Kota Tidore Kepulauan > LPSE Kota Tidore Kepulauan","https://spse.inaproc.id/tidorekota","https://lpse.tidorekota.go.id"
"Kota Ternate > LPSE Kota Ternate","https://spse.inaproc.id/ternatekota","https://lpse.ternatekota.go.id"
